"","Country","MYEAR","DATE","Latitude","Longitude","Species","NOINP","MATRX","Value.mgperkg","PARAM","BASIS","QFLAG","DETLI.mgperkg","LMQNT","UNCRT"
"18153","Norway",2008,"11/11/2008",59.48816667,10.498,"Mytilus edulis",49,"SB",0.012,"Hg","W","",NA,NA,NA
"18154","Norway",2008,"29/10/2008",59.02716667,10.5255,"Mytilus edulis",100,"SB",0.007,"Hg","W","",NA,NA,NA
"18155","Norway",2008,"29/10/2008",59.02716667,10.5255,"Mytilus edulis",50,"SB",0.006,"Hg","W","",NA,NA,NA
"18156","Norway",2008,"29/10/2008",59.02716667,10.5255,"Mytilus edulis",50,"SB",0.006,"Hg","W","",NA,NA,NA
"18157","Norway",2008,"29/10/2008",59.02716667,10.5255,"Mytilus edulis",50,"SB",0.08,"Pb","W","",NA,NA,NA
"18158","Norway",2008,"01/10/2008",69.89866667,29.74416667,"Mytilus edulis",40,"SB",0.07,"Pb","W","",NA,NA,NA
"18159","Norway",2008,"01/10/2008",69.89866667,29.74416667,"Mytilus edulis",40,"SB",0.07,"Pb","W","",NA,NA,NA
"18160","Norway",2008,"01/10/2008",69.89866667,29.74416667,"Mytilus edulis",40,"SB",0.06,"Pb","W","",NA,NA,NA
"18161","Norway",2008,"05/11/2008",58.0425,6.90033333,"Mytilus edulis",100,"SB",0.12,"Pb","W","",NA,NA,NA
"18162","Norway",2008,"05/11/2008",58.0425,6.90033333,"Mytilus edulis",50,"SB",0.12,"Pb","W","",NA,NA,NA
"18163","Norway",2008,"05/11/2008",58.0425,6.90033333,"Mytilus edulis",50,"SB",0.09,"Pb","W","",NA,NA,NA
"18164","Norway",2008,"01/10/2008",69.89866667,29.74416667,"Mytilus edulis",40,"SB",0.009,"Hg","W","",NA,NA,NA
"18165","Norway",2008,"01/10/2008",69.89866667,29.74416667,"Mytilus edulis",40,"SB",0.008,"Hg","W","",NA,NA,NA
"18166","Norway",2008,"01/10/2008",69.89866667,29.74416667,"Mytilus edulis",40,"SB",0.008,"Hg","W","",NA,NA,NA
"18167","Norway",2008,"05/11/2008",58.0425,6.90033333,"Mytilus edulis",100,"SB",0.01,"Hg","W","",NA,NA,NA
"18168","Norway",2008,"05/11/2008",58.0425,6.90033333,"Mytilus edulis",50,"SB",0.011,"Hg","W","",NA,NA,NA
"18169","Norway",2008,"05/11/2008",58.0425,6.90033333,"Mytilus edulis",50,"SB",0.01,"Hg","W","",NA,NA,NA
"18170","Norway",2008,"05/09/2008",59.58366667,5.14583333,"Mytilus edulis",100,"SB",0.42,"Pb","W","",NA,NA,NA
"18171","Norway",2008,"05/09/2008",59.58366667,5.14583333,"Mytilus edulis",50,"SB",0.33,"Pb","W","",NA,NA,NA
"18172","Norway",2008,"05/09/2008",59.58366667,5.14583333,"Mytilus edulis",50,"SB",0.39,"Pb","W","",NA,NA,NA
"18173","Norway",2008,"01/10/2008",70.13833333,30.36166667,"Mytilus edulis",100,"SB",0.18,"Pb","W","",NA,NA,NA
"18174","Norway",2008,"01/10/2008",70.13833333,30.36166667,"Mytilus edulis",103,"SB",0.17,"Pb","W","",NA,NA,NA
"18175","Norway",2008,"01/10/2008",70.13833333,30.36166667,"Mytilus edulis",100,"SB",0.18,"Pb","W","",NA,NA,NA
"18176","Norway",2009,"25/08/2009",59.32233333,5.31883333,"Mytilus edulis",20,"SB",0.128,"Cd","W","",1,NA,NA
