"","Country","MYEAR","DATE","Latitude","Longitude","Species","NOINP","MATRX","Value.mgperkg","PARAM","BASIS","QFLAG","DETLI.mgperkg","LMQNT","UNCRT"
"8587","Norway",2004,"24/08/2004",67.66466667,14.74283333,"Mytilus edulis",50,"SB",0.1,"Pb","W","",0.04,NA,NA
"8588","United Kingdom",2009,"20/01/2009",54.659,-5.899,"Mytilus edulis",60,"SB",0.518,"Pb","W","",0.01,NA,19.128
"8589","Norway",2004,"26/08/2004",66.29333333,12.83583333,"Mytilus edulis",50,"SB",0.1,"Pb","W","",0.04,NA,NA
"8590","Norway",2008,"07/09/2008",59.59166667,6.30016667,"Mytilus edulis",20,"SB",0.249,"Cd","W","",NA,NA,NA
"8591","Norway",2008,"07/09/2008",59.59166667,6.30016667,"Mytilus edulis",20,"SB",0.337,"Cd","W","",NA,NA,NA
"8592","Norway",2008,"07/09/2008",59.59166667,6.30016667,"Mytilus edulis",20,"SB",0.35,"Cd","W","",NA,NA,NA
"8593","Norway",2008,"01/10/2008",59.7445,10.52283333,"Mytilus edulis",20,"SB",0.182,"Cd","W","",NA,NA,NA
"8594","Norway",2008,"01/10/2008",59.7445,10.52283333,"Mytilus edulis",20,"SB",0.197,"Cd","W","",NA,NA,NA
"8595","Norway",2008,"12/09/2008",59.095,11.13666667,"Mytilus edulis",20,"SB",0.141,"Cd","W","",NA,NA,NA
"8596","Norway",2008,"12/09/2008",59.095,11.13666667,"Mytilus edulis",20,"SB",0.167,"Cd","W","",NA,NA,NA
"8597","Norway",2008,"12/09/2008",59.08,10.98633333,"Mytilus edulis",20,"SB",0.224,"Cd","W","",NA,NA,NA
"8598","Norway",2008,"12/09/2008",59.08,10.98633333,"Mytilus edulis",20,"SB",0.213,"Cd","W","",NA,NA,NA
"8599","Norway",2008,"12/09/2008",59.08,10.98633333,"Mytilus edulis",20,"SB",0.254,"Cd","W","",NA,NA,NA
"8600","Norway",2008,"30/10/2008",66.316,14.12283333,"Mytilus edulis",20,"SB",0.185,"Cd","W","",NA,NA,NA
"8601","Norway",2008,"30/10/2008",66.316,14.12283333,"Mytilus edulis",20,"SB",0.143,"Cd","W","",NA,NA,NA
"8602","Norway",2008,"30/10/2008",66.316,14.12283333,"Mytilus edulis",20,"SB",0.217,"Cd","W","",NA,NA,NA
"8603","Norway",2008,"30/10/2008",66.31166667,14.12533333,"Mytilus edulis",18,"SB",0.295,"Cd","W","",NA,NA,NA
"8604","Norway",2004,"11/10/2004",60.08383333,6.5505,"Mytilus edulis",20,"SB",4.81,"Pb","W","",0.04,NA,NA
"8605","Norway",2004,"11/10/2004",60.09666667,6.53283333,"Mytilus edulis",100,"SB",2.09,"Pb","W","",0.04,NA,NA
