"X","Country","MYEAR","DATE","Latitude","Longitude","Species","NOINP","MATRX","Value.mgperkg","PARAM","BASIS","QFLAG","DETLI.mgperkg","LMQNT","UNCRT","n_bycountry"
820,"Ireland",1990,1990-03-14,53.86,-9.61666667,"Mytilus edulis",50,"SB",0.25,"Cd","W","",0.001,NA,NA,986
821,"Ireland",1990,1990-02-20,54.635,-8.39,"Mytilus edulis",50,"SB",0.19,"Cd","W","",0.001,NA,NA,986
822,"Ireland",1990,1990-02-06,52.23333333,-6.96166667,"Mytilus edulis",50,"SB",0.4,"Cd","W","",0.001,NA,NA,986
823,"Ireland",1990,1990-04-04,53.51166667,-6.12,"Mytilus edulis",50,"SB",0.43,"Cd","W","",0.001,NA,NA,986
825,"Ireland",1990,1990-03-08,53.15,-9.03,"Mytilus edulis",50,"SB",0.23,"Cd","W","",0.001,NA,NA,986
826,"Ireland",1990,1990-03-08,54.01666667,-6.125,"Mytilus edulis",50,"SB",0.45,"Cd","W","",0.001,NA,NA,986
827,"Ireland",1990,1990-02-22,55.12666667,-7.185,"Mytilus edulis",50,"SB",0.27,"Cd","W","",0.001,NA,NA,986
828,"Ireland",1990,1990-03-05,51.52833333,-9.52666667,"Mytilus edulis",50,"SB",0.35,"Cd","W","",0.001,NA,NA,986
833,"Ireland",1990,1990-02-27,55.00166667,-7.51,"Mytilus edulis",50,"SB",0.23,"Cd","W","",0.001,NA,NA,986
834,"Ireland",1990,1990-03-13,54.25,-8.61333333,"Mytilus edulis",50,"SB",0.19,"Cd","W","",0.001,NA,NA,986
835,"Ireland",1990,1990-02-22,53.72333333,-6.27833333,"Mytilus edulis",50,"SB",0.25,"Cd","W","",0.001,NA,NA,986
836,"Ireland",1990,1990-03-08,53.27166667,-8.94166667,"Mytilus edulis",50,"SB",0.25,"Cd","W","",0.001,NA,NA,986
874,"The Netherlands",1992,1992-09-15,53.4595,6.94033333,"Mytilus edulis",50,"SB",0.13,"Cd","W","",0.005,NA,NA,233
875,"The Netherlands",1992,1992-09-15,53.4595,6.94033333,"Mytilus edulis",50,"SB",0.13,"Cd","W","",0.005,NA,NA,233
876,"The Netherlands",1992,1992-09-15,53.4595,6.94033333,"Mytilus edulis",176,"SB",0.092,"Cd","W","",0.005,NA,NA,233
911,"The Netherlands",1992,1992-09-15,51.35,2.83333333,"Mytilus edulis",37,"SB",0.63,"Cd","W","",0.005,NA,NA,233
912,"The Netherlands",1992,1992-09-15,51.35,2.83333333,"Mytilus edulis",241,"SB",0.39,"Cd","W","",0.005,NA,NA,233
913,"The Netherlands",1992,1992-09-15,51.35,2.83333333,"Mytilus edulis",145,"SB",0.37,"Cd","W","",0.005,NA,NA,233
914,"The Netherlands",1992,1992-09-15,51.35,2.83333333,"Mytilus edulis",77,"SB",0.42,"Cd","W","",0.005,NA,NA,233
915,"The Netherlands",1992,1992-09-15,51.35,2.83333333,"Mytilus edulis",50,"SB",0.62,"Cd","W","",0.005,NA,NA,233
916,"The Netherlands",1992,1992-09-15,53.4595,6.94033333,"Mytilus edulis",100,"SB",0.098,"Cd","W","",0.005,NA,NA,233
917,"The Netherlands",1992,1992-09-15,53.4595,6.94033333,"Mytilus edulis",255,"SB",0.093,"Cd","W","",0.005,NA,NA,233
933,"The Netherlands",1993,1993-09-15,53.4595,6.94033333,"Mytilus edulis",52,"SB",0.11,"Cd","W","",0.003,NA,NA,233
934,"The Netherlands",1993,1993-09-15,53.4595,6.94033333,"Mytilus edulis",60,"SB",0.11,"Cd","W","",0.003,NA,NA,233
935,"The Netherlands",1993,1993-09-15,53.4595,6.94033333,"Mytilus edulis",80,"SB",0.12,"Cd","W","",0.003,NA,NA,233
936,"The Netherlands",1993,1993-09-15,53.4595,6.94033333,"Mytilus edulis",146,"SB",0.12,"Cd","W","",0.003,NA,NA,233
937,"The Netherlands",1993,1993-09-15,53.4595,6.94033333,"Mytilus edulis",342,"SB",0.083,"Cd","W","",0.003,NA,NA,233
938,"The Netherlands",1993,1993-09-15,51.35,2.83333333,"Mytilus edulis",37,"SB",0.63,"Cd","W","",0.003,NA,NA,233
939,"The Netherlands",1993,1993-09-15,51.35,2.83333333,"Mytilus edulis",78,"SB",0.47,"Cd","W","",0.003,NA,NA,233
940,"The Netherlands",1993,1993-09-15,51.35,2.83333333,"Mytilus edulis",58,"SB",0.7,"Cd","W","",0.003,NA,NA,233
941,"The Netherlands",1993,1993-09-15,51.35,2.83333333,"Mytilus edulis",146,"SB",0.47,"Cd","W","",0.003,NA,NA,233
942,"The Netherlands",1993,1993-09-15,51.35,2.83333333,"Mytilus edulis",220,"SB",0.43,"Cd","W","",0.003,NA,NA,233
943,"United Kingdom",1990,1990-07-15,53.56666667,-0.08333333,"Mytilus edulis",49,"SB",0.61,"Cd","W","",0.06,NA,NA,1414
944,"United Kingdom",1990,1990-07-15,53.53333333,0,"Mytilus edulis",50,"SB",0.56,"Cd","W","",0.06,NA,NA,1414
945,"United Kingdom",1990,1990-07-15,52.96666667,0.5,"Mytilus edulis",50,"SB",0.06,"Cd","W","<",0.06,NA,NA,1414
946,"United Kingdom",1990,1990-07-15,53.56666667,-0.08333333,"Mytilus edulis",49,"SB",0.57,"Cd","W","",0.06,NA,NA,1414
947,"United Kingdom",1990,1990-07-15,53.53333333,0,"Mytilus edulis",50,"SB",0.55,"Cd","W","",0.06,NA,NA,1414
948,"United Kingdom",1990,1990-07-15,52.96666667,0.5,"Mytilus edulis",50,"SB",0.06,"Cd","W","<",0.06,NA,NA,1414
949,"United Kingdom",1990,1990-07-15,54.5,-0.6,"Mytilus edulis",50,"SB",0.17,"Cd","W","",0.06,NA,NA,1414
950,"United Kingdom",1990,1990-07-15,55,-1.4,"Mytilus edulis",50,"SB",0.11,"Cd","W","",0.06,NA,NA,1414
951,"United Kingdom",1990,1990-07-15,55,-1.4,"Mytilus edulis",50,"SB",0.1,"Cd","W","",0.06,NA,NA,1414
952,"United Kingdom",1990,1990-07-15,52.33333333,1.66666667,"Mytilus edulis",50,"SB",0.12,"Cd","W","",0.06,NA,NA,1414
953,"United Kingdom",1990,1990-07-15,54.5,-0.6,"Mytilus edulis",50,"SB",0.19,"Cd","W","",0.06,NA,NA,1414
954,"United Kingdom",1990,1990-07-15,51.61666667,0.83333333,"Mytilus edulis",50,"SB",0.16,"Cd","W","",0.06,NA,NA,1414
955,"United Kingdom",1990,1990-07-15,52.33333333,1.66666667,"Mytilus edulis",50,"SB",0.12,"Cd","W","",0.06,NA,NA,1414
956,"United Kingdom",1990,1990-07-15,51.61666667,0.83333333,"Mytilus edulis",50,"SB",0.18,"Cd","W","",0.06,NA,NA,1414
957,"United Kingdom",1990,1990-07-15,55.13333333,-1.5,"Mytilus edulis",49,"SB",0.14,"Cd","W","",0.06,NA,NA,1414
958,"United Kingdom",1990,1990-07-15,54.65,-1.13333333,"Mytilus edulis",50,"SB",0.21,"Cd","W","",0.06,NA,NA,1414
959,"United Kingdom",1990,1990-07-15,55.13333333,-1.5,"Mytilus edulis",49,"SB",0.14,"Cd","W","",0.06,NA,NA,1414
960,"United Kingdom",1990,1990-07-15,54.65,-1.13333333,"Mytilus edulis",50,"SB",0.22,"Cd","W","",0.06,NA,NA,1414
961,"United Kingdom",1990,1990-07-15,54.2,-0.28333333,"Mytilus edulis",50,"SB",0.16,"Cd","W","",0.06,NA,NA,1414
962,"United Kingdom",1990,1990-07-15,54.2,-0.28333333,"Mytilus edulis",50,"SB",0.14,"Cd","W","",0.06,NA,NA,1414
